# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
202	282	ffffffffffff05ff	03ffffffffff0000	268435456	64	39	4	19	7	3	282	4	2	3	0
203	283	0bffffffffff05ff	03ffffffffff0000	268435456	64	39	4	19	7	3	283	4	2	3	0
204	285	ffffffffffffffff	01ffffffffff0000	404750336	0	39	4	19	7	3	285	4	2	1	0
205	286	ffffffffffffffff	01ffffffffff0000	270532608	64	39	4	19	7	3	286	4	2	1	0
206	287	ffff01ffffffffff	01ffffffffff0000	270532608	64	39	4	19	7	3	287	4	2	1	0
207	288	ffff191affffffff	ffffffff05ff0000	0	0	39	4	19	7	3	288	4	2	1	0
208	291	ffff1417ffffffff	ffffffff03ff0000	0	0	39	4	19	7	3	291	4	2	1	0
209	301	ffff1d1dffffffff	ffffffff01ff0000	0	0	39	4	19	7	3	301	4	2	1	0
210	307	ffffffffffff0610	03ffffffffff0000	0	192	39	4	19	7	3	307	4	2	1	0
211	308	ff07ffffffff0610	03ffffffffff0000	0	192	39	4	19	7	3	308	4	2	1	0
212	312	0bffffffffff0610	03ffffffffff0000	0	192	39	4	19	7	3	312	4	2	1	0
213	313	0b07ffffffff0610	03ffffffffff0000	0	192	39	4	19	7	3	313	4	2	1	0
214	315	ffffffffffffffff	05ffffffffff0000	402653184	0	39	4	19	7	3	315	4	2	1	0
215	316	ffffffffffffffff	0fffffffffff0000	402653184	0	39	4	19	7	3	316	4	2	1	0
216	318	ffffffffffffffff	11ffffffffff0000	478150656	0	39	4	19	7	3	318	4	2	1	0
217	319	ffffffffffffffff	12ffffffffff0000	469762048	0	39	4	19	7	3	319	4	2	1	0
218	326	ffff0fffffffffff	ffffffff07ff0000	268435456	64	39	4	19	7	3	326	4	2	1	0
219	327	ffff10ffffffffff	ffffffff08ff0000	268435456	64	39	4	19	7	3	327	4	2	1	0
220	328	ffffffffffffffff	0cffffffffff0000	478150656	0	39	4	19	7	3	328	4	2	1	0
221	329	ffffffffffffffff	15ffffffffff0000	402653184	0	39	4	19	7	3	329	4	2	1	0
222	334	ffffffffffffffff	04ffffffffff0000	402653184	0	39	4	19	7	3	334	4	2	1	0
223	335	1515ffffffff04ff	03ffffffffff0000	0	192	39	4	19	7	3	335	4	2	3	0
224	336	151504ffffff04ff	03ffffffffff0000	0	192	39	4	19	7	3	336	4	2	3	0
225	337	1515ffffffffffff	03ffffffffff0000	0	192	39	4	19	7	3	337	4	2	3	0
226	341	0101ffffffffffff	02ffffffffff0000	0	0	39	4	19	7	3	341	4	1	1	0
