idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
397	480	5151ffffffffff1d	0bffffffffff0000	0	0	39	4	19	7	3	480	4	1	1	0
398	481	515105ffffffff1d	0bffffffffff0000	0	0	39	4	19	7	3	481	4	1	1	0
399	482	07ffff1affff0102	00ffffffffff0000	0	0	39	4	19	7	3	482	4	1	1	0
400	483	3d3dffffffffff13	06ffffffffff0000	4194304	192	39	4	19	7	3	483	4	2	3	0
401	485	2e3dffffffffff13	06ffffffffff0000	4194304	192	39	4	19	7	3	485	4	2	3	0
402	487	43ff16ffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	487	4	2	1	0
403	488	3effffffffffffff	06ffffffffff0000	268435456	64	39	4	19	7	3	488	4	2	1	0
404	489	43ffffffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	489	4	2	1	0
405	490	43ff16ffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	490	4	2	1	0
406	491	ff3510ffffffffff	ffffffff01ff0000	0	192	39	4	19	7	3	491	4	2	3	0
407	492	35ff10ffffffffff	ffffffff01ff0000	268435456	64	39	4	19	7	3	492	4	2	3	0
408	493	4853ffffffffff22	0effffffffff0000	0	0	39	4	19	7	3	493	4	1	1	0
409	495	4949ffffffffff20	07ffffffffff0000	0	0	39	4	19	7	3	495	4	1	1	0
410	496	48530cffffffff22	0effffffffff0000	0	0	39	4	19	7	3	496	4	1	1	0
411	497	5353ffffffffff22	0effffffffff0000	0	0	39	4	19	7	3	497	4	1	1	0
412	498	494905ffffffff20	07ffffffffff0000	0	0	39	4	19	7	3	498	4	1	1	0
413	499	535305ffffffff22	0effffffffff0000	0	0	39	4	19	7	3	499	4	1	1	0
414	500	ff54ffffffff0b1b	06ffffffffff0000	4194304	192	39	4	19	7	3	500	4	2	1	0
415	501	ff54ffffffff0b1b	06ffffffffff0000	4194304	192	39	4	19	7	3	501	4	2	1	0
416	503	2c54ffffffff0b1b	06ffffffffff0000	4194304	192	39	4	19	7	3	503	4	2	1	0
417	504	2c54ffffffff0b1b	06ffffffffff0000	4194304	192	39	4	19	7	3	504	4	2	1	0
418	526	4646040404ffffff	0000ffffffff0000	256	0	39	4	19	3	2	526	0	1	1	0
419	527	28280404ffffffff	0000ffffffff0000	1048581	0	39	4	19	3	2	527	0	1	1	0
420	528	2b2b0404ffffffff	0000ffffffff0000	1	0	39	4	19	3	2	528	0	1	1	0
421	529	2a2a0404ffffffff	0000ffffffff0000	1	0	39	4	19	3	2	529	0	1	1	0
422	530	4646040404ffffff	0000ffffffff0000	256	0	39	4	19	3	2	530	0	1	1	0
423	531	44441b1bffffffff	0000ffffffff0000	0	0	39	4	19	3	2	531	0	1	1	0
424	532	3b3bffffffffffff	0000ffffffff0000	0	4	1	1	3	7	3	532	1	2	3	0
425	533	32320e0effffffff	0000ffffffff0000	0	4	36	1	12	7	3	533	1	2	3	0
426	534	32320e0effffffff	0000ffffffff0000	0	4	37	1	12	7	3	534	1	2	3	0
427	536	32320e0effffffff	0000ffffffff0000	0	4	37	1	12	7	3	536	1	2	3	0
428	539	62620d0dffffffff	00000303ffff0000	0	0	13	1	10	6	1	539	0	1	1	0
429	540	2c2c0000ffff0808	0000ffffffff0000	4194304	1	5	1	6	7	3	540	1	2	3	0
430	541	2c2c0000ffff0808	0000ffffffff0000	4194304	1	5	1	0	7	3	541	1	2	3	0
431	542	2c2c0000ffff0808	0000ffffffff0000	268435456	4	33	2	6	7	3	542	1	2	3	0
432	543	2c2c0000ffff0808	0000ffffffff0000	268435456	4	33	2	0	7	3	543	1	2	3	0
433	544	ffffffffffffffff	0000ffffffff0000	8	0	39	4	19	7	3	544	0	2	2	0
434	545	62620d0dffffffff	00000303ffff0000	0	0	19	1	10	5	1	545	0	1	1	0
