# sm_110 40-B dependency rules (430 classes).
# Resolved to the sm_103 Blackwell dependency-rule table @ .rodata VMA
# 0x2262720 (installer sub_ABF590 enum 0x4001).  Binary-derived
# (ptxas 13.0.88).  sm_120 == sm_121 byte-identical; both resolve to sm_103
# (FP64 DFMA/DADD decoupled like sm_103 -- not coupled like sm_100;
# dependent-DFMA issue gap 0x50 not 0x10 -- verified empirically).
# Identical bytes to dependency_rules_sm_103.tsv.
idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
338	598	0	22	2	56	2	-1	-1	39	4
339	599	1	42	15	56	4	-1	-1	1	1
340	600	1	42	15	56	4	-1	-1	1	1
341	601	1	42	15	56	4	-1	-1	1	1
342	602	1	42	15	56	4	-1	-1	1	1
343	603	1	42	15	56	4	-1	-1	1	1
344	604	1	42	15	56	4	-1	-1	1	1
345	607	1	63	27	56	32	-1	-1	23	1
346	608	1	63	27	56	32	-1	-1	28	1
347	609	1	63	27	56	32	-1	-1	28	1
348	610	1	63	27	56	32	-1	-1	24	1
349	611	1	63	27	56	32	-1	-1	24	1
350	612	1	54	23	45	8	-1	-1	25	3
351	613	1	56	23	47	16	-1	-1	25	3
352	614	1	55	23	46	16	-1	-1	25	3
353	615	1	54	23	45	8	-1	-1	25	3
354	617	1	54	23	45	8	-1	-1	25	3
355	618	1	54	23	45	8	-1	-1	25	3
356	619	1	55	23	46	16	40	-1	25	3
357	623	1	63	27	56	32	-1	-1	28	1
358	624	1	63	27	56	32	-1	-1	28	1
359	625	1	63	27	56	32	-1	-1	28	1
360	626	1	63	27	56	32	-1	-1	28	1
361	627	1	62	30	56	32	-1	-1	32	3
362	628	1	62	30	56	32	-1	-1	32	3
363	629	1	62	30	56	32	-1	-1	32	3
364	630	1	62	30	56	32	-1	-1	32	3
365	631	1	62	30	56	32	-1	2	32	3
366	632	0	52	21	56	1	-1	4	39	4
367	633	1	62	30	56	32	-1	6	32	3
368	634	1	62	30	56	32	-1	-1	32	3
369	635	1	63	27	56	32	-1	-1	28	1
370	636	1	63	27	56	32	-1	-1	28	1
371	637	1	64	28	0	8	-1	-1	29	3
372	639	1	64	28	0	8	-1	-1	29	3
373	640	1	64	28	0	8	-1	-1	29	3
374	641	0	70	31	56	2	-1	-1	39	4
375	642	0	70	31	56	2	-1	-1	39	4
376	644	1	17	0	56	8	-1	-1	33	2
377	645	0	52	21	56	1	-1	-1	39	4
378	646	0	52	21	56	1	-1	-1	39	4
379	647	0	52	21	56	1	-1	-1	39	4
380	648	0	70	31	56	2	-1	-1	39	4
381	663	0	70	31	56	2	-1	-1	39	4
382	670	0	70	31	56	2	-1	-1	39	4
383	683	0	70	31	56	2	-1	-1	39	4
384	684	0	70	31	56	2	-1	-1	39	4
385	685	0	70	31	56	2	-1	-1	39	4
386	688	0	70	31	56	2	-1	-1	39	4
387	690	0	52	21	56	1	-1	-1	39	4
388	691	0	70	31	56	2	-1	-1	39	4
389	692	0	52	21	56	1	-1	-1	39	4
390	693	0	70	31	56	2	-1	-1	39	4
391	694	0	70	31	56	2	-1	-1	39	4
392	695	0	70	31	56	2	-1	-1	39	4
393	697	0	52	21	56	1	-1	-1	39	4
394	699	0	70	31	56	2	-1	-1	39	4
395	700	0	70	31	56	2	-1	-1	39	4
396	701	0	70	31	56	2	-1	-1	39	4
397	702	0	70	31	56	2	-1	-1	39	4
398	703	0	70	31	56	2	-1	-1	39	4
399	704	0	70	31	56	2	-1	-1	39	4
400	707	0	70	31	56	2	-1	-1	39	4
401	709	1	17	0	56	8	-1	-1	33	2
402	710	1	17	0	56	8	-1	-1	33	2
403	711	1	19	1	56	8	-1	-1	34	1
404	712	1	17	0	56	8	-1	-1	34	1
405	713	0	70	31	56	2	-1	-1	39	4
406	714	0	70	31	56	2	-1	-1	39	4
407	715	0	70	31	56	2	-1	-1	39	4
408	716	0	70	31	56	2	-1	-1	39	4
409	744	1	65	28	52	4	-1	-1	29	3
410	745	1	65	28	52	4	-1	-1	30	1
411	747	1	66	28	54	8	-1	-1	29	3
412	748	1	66	28	54	8	-1	-1	29	3
413	749	1	66	28	54	8	-1	-1	29	3
414	750	1	66	28	54	8	-1	-1	29	3
415	755	0	22	2	56	2	-1	-1	39	4
416	756	0	22	2	56	2	-1	-1	39	4
417	757	0	22	2	56	2	-1	-1	39	4
418	758	0	30	12	8	2	-1	-1	39	4
419	759	0	22	2	56	2	-1	-1	39	4
420	760	0	22	2	56	2	-1	-1	39	4
421	761	0	22	2	56	2	-1	-1	39	4
422	763	0	22	2	56	2	-1	-1	39	4
423	764	0	52	21	56	1	-1	-1	39	4
424	765	0	52	21	56	1	-1	-1	39	4
425	766	0	52	21	56	1	-1	2	39	4
426	767	0	52	21	56	1	-1	-1	39	4
427	768	0	52	21	56	1	-1	-1	39	4
428	769	1	29	6	56	8	-1	5	5	1
429	771	1	28	5	56	4	-1	5	5	1
