table	id	severity_code	severity	message	source
main	433	5	error	Pragma '%s' not supported	plaintext
main	434	3	warning	Option '%s' not supported for gpu architecture '%s', will be ignored	plaintext
main	435	5	error	Option '%s' not supported for gpu architecture '%s'	plaintext
main	436	6	fatal	'%s' requires ABI	plaintext
main	437	5	error	Unresolved label '%s' used in function_name attribute.	plaintext
main	438	5	error	Invalid value '%s' for option -abi.	plaintext
main	439	3	warning	.loc directive without .file directive is found, line information in generated binary may not be complete	plaintext
main	440	5	error	PTX .version %s does not support .target %s	plaintext
main	441	6	fatal	PTX with .target '%s' cannot be compiled for architecture '%s'	plaintext
main	442	6	fatal	Program with .target '%s' cannot be compiled to different SM-family architecture	plaintext
main	443	6	fatal	Program with .target '%s' cannot be compiled to future architecture	plaintext
main	444	6	fatal	SM version specified by .target is higher than default SM version assumed	plaintext
main	445	5	error	labels '%s' and '%s' must be defined in the same section	plaintext
main	446	5	error	label '%s' invalid	plaintext
main	447	2	info	"Function properties for %s
    %d bytes stack frame, %d bytes spill stores, %d bytes spill loads"	plaintext
main	448	2	info	"Fatpoint count for entry %s for regclass %s : %d
"	plaintext
